site,date,temp,umid,prec,ws,wd
MIC,2018-08-17,19.518232558139538,76.51902325581395,0,1.7155439181395349,113.32267143900424
MIC,2018-08-18,20.48935960591133,76.49029556650247,0,2.010548726600985,79.2792397375056
MIC,2018-08-19,20.812,76.89182456140351,0,2.05761208877193,85.81252118282345
MIC,2018-08-20,18.827886597938143,85.87731958762886,0,2.0276775412371135,160.62694971963018
MIC,2018-08-21,16.738490566037736,86.16698113207548,0,2.561388905660378,111.53418457312192
MIC,2018-08-22,18.038,85.52588235294118,0,1.4249411723529413,145.3406140614039
MIC,2018-08-23,20.796184210526317,77.68789473684211,0,1.9272271149122808,124.88933238663104
MIC,2018-08-24,19.61223300970874,86.08271844660194,0,1.8063039509708736,208.75912760723196
MIC,2018-08-25,20.791144278606964,51.348407960199005,0,4.939335276119403,212.7671033557176
MIC,2018-08-26,16.259349593495934,53.60284552845528,0,3.203900192682927,168.07337646271594
MIC,2018-08-27,15.973897637795275,67.59267716535433,0,2.309157918897638,104.9498130089414
MIC,2018-08-28,19.43263779527559,72.69173228346456,0,2.276081596456693,91.56375383205386
MIC,2018-08-29,20.905938864628823,76.65834061135371,0,1.886220288209607,95.59025501764432
MIC,2018-08-30,21.52868544600939,79.24455399061033,0,2.15819900657277,94.16128622709068
MIC,2018-08-31,21.686384976525822,78.93258215962442,0,2.297406097652582,105.34013455261426
MIC,2018-09-01,22.851634615384615,79.37048076923077,0,1.9039369413461535,220.3879707103224
MIC,2018-09-02,23.102061855670105,80.37474226804123,0,1.4128493402061857,272.3355899531783
MIC,2018-09-03,20.0925,89.47916666666667,0,1.6783218,126.31362763276096
MIC,2018-09-04,20.649375,29.712511363636363,0,3.3603582738636364,195.55439449930356
MIC,2018-09-05,17.0606640625,23.246359375,0,2.24176645546875,129.1679977470224
MIC,2018-09-06,17.796502463054185,31.27249261083744,0,2.7446756674876847,76.86913790447986
MIC,2018-09-07,17.68206225680934,20.195155642023344,0,2.302956139688716,82.2484195887387
MIC,2018-09-08,18.47704980842912,20.260268199233717,0,1.542616012643678,84.83482310459873
MIC,2018-09-09,19.369558232931727,18.711831325301205,0,2.3203781907630523,106.81038890524276
MIC,2018-09-10,20.56003968253968,45.46774206349206,0,1.9002193718253968,103.67643933268133
MIC,2018-09-11,20.303617886178863,85.0739837398374,0.229,3.047914418699187,150.61898250638117
MIC,2018-09-12,19.903469387755106,88.67877551020408,3.205,3.2722301714285713,82.4472031379548
MIC,2018-09-13,20.096858638743456,88.1041884816754,0.916,2.255120710994764,65.0453257046212
MIC,2018-09-14,20.51734939759036,92.76024096385542,0.916,2.0864106421686746,141.4017607344658
MIC,2018-09-15,20.675,87.13365,0.458,2.183026392,146.76329934699277
MIC,2018-09-16,20.93701550387597,85.20197674418604,2.2880000000000003,2.0215719127906975,161.06486733809487
MIC,2018-09-17,20.756778242677825,90.45062761506276,2.9770000000000003,1.2459053849372386,63.57437574835211
MIC,2018-09-18,24.266564885496184,78.87503816793892,0,1.8236301847328245,89.88033189322405
MIC,2018-09-19,24.5004,81.83924444444445,0,1.992398772,87.95173358871905
MIC,2018-09-20,24.66948717948718,83.85348717948717,0,2.008282050769231,139.69659200100938
MIC,2018-09-21,26.279103773584907,74.11853773584906,0,2.301954905660377,82.9123073647293
MIC,2018-09-22,25.670607476635514,76.44771028037383,0,2.1959825892523366,84.27232327262197
MIC,2018-09-23,26.397873303167422,75.08045248868778,0,2.009375317647059,93.21959000462296
MIC,2018-09-24,25.789606986899564,75.23899563318777,4.805000000000001,2.1358054305676855,120.39893003217828
MIC,2018-09-25,25.49450980392157,76.9076862745098,0.229,2.533403056862745,106.6849558341424
MIC,2018-09-26,25.30824034334764,81.96467811158799,1.374,1.8421840708154509,84.43584692412193
MIC,2018-09-27,25.678188679245284,80.57264150943396,0,2.0810366845283017,141.56676489080382
MIC,2018-09-28,25.34955223880597,83.3962,0.687,2.9388083085,117.45511725646558
MIC,2018-09-29,26.31705882352941,75.48416666666667,0,2.152309367156863,62.59740295886717
MIC,2018-09-30,26.896712962962962,78.40833333333333,0,1.6752649333333334,80.55075470360869
MIC,2018-10-01,29.515929203539823,69.00464601769912,0,2.6409918699115043,80.13863976397764
MIC,2018-10-02,25.29366336633663,81.47212871287128,4.804,2.522392711881188,120.07907077859925
MIC,2018-10-03,23.699685863874347,88.13036649214659,3.4330000000000003,2.3761256612565447,146.5746733186952
MIC,2018-10-04,22.485492227979275,75.29549222797928,0,1.573744966839378,183.40181583036156
MIC,2018-10-05,21.704509803921567,73.19307189542484,0,2.092710605228758,103.92340151854454
MIC,2018-10-06,21.456666666666667,72.33960451977401,0.916,1.0157721508474575,319.1247154036829
MIC,2018-10-07,20.75029197080292,88.44817518248175,8.700000000000001,1.9599553963503649,121.4461544386983
MIC,2018-10-08,23.463125,87.18125,1.832,1.0323437515625,87.32995074973279
MIC,2018-10-09,27.209468599033816,77.78676328502415,0,2.10394794589372,98.77150613148824
MIC,2018-10-10,22.58823529411765,86.76764705882353,0,3.93121039206921,121.98835291216642
MIC,2018-10-11,21.25356321839081,82.65367816091954,1.373,1.694469956321839,325.17012444942895
MIC,2018-10-12,23.993465346534652,81.36742574257426,0.229,2.018172414851485,66.18804819066001
MIC,2018-10-13,24.849,82.9858,3.661,2.6540527815,133.24666899803188
MIC,2018-10-14,20.598853503184714,87.0484076433121,11.207,1.599396623566879,163.00487760472512
MIC,2018-10-15,21.418805970149258,88.18557213930349,4.579000000000001,1.7358485412935325,117.0525801982518
