site,date,factor,BC,Al,Si,Pb,Fe,Ti,Mn,Pt,Br,Zn,cloreto,nitrato,sulfato,sodio,amonio,potassio,magnesio,calcio
MIC,2018-11-09T07:00:00Z,Factor.1,0.014450949000000001,0.00424752345,0.0077781887999999995,2.1966943500000002e-4,0.00610660935,4.18409325e-4,3.6506259e-4,0.0029541042,NA,4.6667196e-7,6.97163265e-4,0,0,0,8.6993793e-4,0.0013455918,3.2254983e-5,0.0019197319500000004
MIC,2018-11-15T08:15:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2018-11-16T09:12:00Z,Factor.1,0.12432233200000001,0.036541684600000006,0.0669161984,0.0018898285800000001,0.05253550580000001,0.0035995991000000002,0.00314065412,0.025414325600000003,NA,4.014805280000001e-6,0.0059977350200000005,0,0,0,0.00748412524,0.0115762024,2.77491444e-4,0.016515562600000002
MIC,2018-11-21T07:28:00Z,Factor.1,0.12785598,0.037580319,0.068818176,0.0019435436999999999,0.05402873699999999,0.0037019114999999997,0.0032299217999999996,0.026136683999999997,NA,4.1289192e-6,0.0061682103,0,0,0,0.007696848599999999,0.011905235999999998,2.8537866e-4,0.016984989000000002
MIC,2018-11-23T07:35:00Z,Factor.1,0.0273750278,0.00804625859,0.01473454336,4.1612885700000003e-4,0.01156800157,7.926100150000001e-4,6.915530980000001e-4,0.00559608124,NA,8.840359120000001e-7,0.001320665083,0,0,0,0.001647959246,0.00254900996,6.11019426e-5,0.0036366272900000005
MIC,2018-11-29T07:00:00Z,Factor.1,0.0584962,0.01719361,0.031485439999999996,8.89203e-4,0.02471903,0.001693685,0.001477742,0.011957959999999998,NA,1.8890479999999999e-6,0.002822057,0,0,0,0.003521434,0.00544684,1.305654e-4,0.007770910000000001
MIC,2018-11-30T07:00:00Z,Factor.1,0.14621662400000002,0.04297700720000001,0.0787007488,0.00222264456,0.061787485600000004,0.004233521200000001,0.00369375184,0.0298900192,NA,4.72184896e-6,0.0070539906400000005,0,0,0,0.00880214768,0.0136148768,3.26360208e-4,0.019424103200000004
MIC,2018-12-03T09:10:00Z,Factor.1,0.0182543958,0.00536545899,0.00982538496,2.77485777e-4,0.007713850769999999,5.285334149999999e-4,4.6114597799999993e-4,0.0037316156399999994,NA,5.894986319999999e-7,8.80654563e-4,0,0,0,0.0010989030059999998,0.0016997475599999999,4.074439859999999e-5,0.00242499969
MIC,2018-12-06T07:43:00Z,Factor.1,0.0705344792,0.020731984760000002,0.03796501504,0.0010721973480000001,0.02980610548,0.00204223846,0.001781855272,0.01441885936,NA,2.2778063680000003e-6,0.0034028248120000003,0,0,0,0.004246130744,0.0065677774399999994,1.574352264e-4,0.009370131560000002
MIC,2018-12-09T08:00:00Z,Factor.1,0.0605089468,0.01778521054,0.032568796159999996,9.19798842e-4,0.02556956642,0.0017519615899999998,0.001528588388,0.012369411439999999,NA,1.9540466719999997e-6,0.002919158798,0,0,0,0.0036426000759999994,0.005634255759999999,1.3505791559999998e-4,0.008038292740000001
MIC,2018-12-12T06:52:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2018-12-20T07:45:00Z,Factor.1,0.19375374,0.056949447,0.10428748799999998,0.0029452581,0.081875481,0.0056098994999999995,0.0048946434,0.039607692,NA,6.2569896e-6,0.009347343900000001,0,0,0,0.0116638518,0.018041268,4.3246458e-4,0.025739157000000002
MIC,2018-12-21T07:48:00Z,Factor.1,0.295787826,0.0869400153,0.15920709119999998,0.00449628219,0.1249925319,0.00856417005,0.0074722476599999995,0.060465790799999995,NA,9.55202904e-6,0.01426981761,0,0,0,0.01780623882,0.0275421132,6.60207942e-4,0.039293844300000005
MIC,2018-12-22T08:15:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2018-12-24T08:46:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2018-12-28T09:07:00Z,Factor.1,0.122209306,0.0359206093,0.0657788672,0.0018577083900000002,0.0516425939,0.00353841905,0.00308727446,0.0249823748,NA,3.9465682400000005e-6,0.005895795410000001,0,0,0,0.00735692242,0.011379449199999999,2.7277510200000003e-4,0.016234858300000002
MIC,2018-12-31T08:40:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-01-03T08:57:00Z,Factor.1,0.30371465799999997,0.08926992489999999,0.16347368959999997,0.00461677827,0.12834221269999999,0.00879368165,0.0076724967799999995,0.06208621639999999,NA,9.80801432e-6,0.01465223513,0,0,0,0.01828342906,0.028280215599999995,6.77900886e-4,0.0403468819
MIC,2019-01-07T08:22:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-01-11T07:45:00Z,Factor.1,0.263029954,0.0773115937,0.1415752448,0.00399832851,0.1111498751,0.00761570645,0.00664471214,0.0537693332,NA,8.49416216e-6,0.01268946569,0,0,0,0.01583423578,0.0244918828,5.87091318e-4,0.0349421347
MIC,2019-01-12T08:40:00Z,Factor.1,0.178604418,0.0524966529,0.09613340159999999,0.00271497267,0.07547375669999999,0.00517126965,0.004511938379999999,0.036510824399999996,NA,5.76776472e-6,0.00861648873,0,0,0,0.01075187226,0.0166306476,3.98650806e-4,0.0237266499
MIC,2019-01-16T07:45:00Z,Factor.1,0.27507539599999997,0.0808520738,0.14805867519999996,0.00418143174,0.11623997739999999,0.0079644673,0.006949006359999999,0.056231696799999994,NA,8.88315184e-6,0.013270579059999999,0,0,0,0.016559363719999998,0.025613487199999996,6.139771319999999e-4,0.0365423078
MIC,2019-01-21T07:43:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-01-22T07:50:00Z,Factor.1,0.127390398,0.0374434719,0.06856757759999998,0.00193646637,0.0538319937,0.0036884311499999997,0.0032181601799999996,0.026041508399999996,NA,4.11388392e-6,0.00614574903,0,0,0,0.007668820859999999,0.011861883599999998,2.8433946599999997e-4,0.016923138900000002
MIC,2019-01-28T07:42:00Z,Factor.1,0.257574288,0.0757080264,0.13863874559999997,0.00391539672,0.1088444472,0.0074577444,0.00650689008,0.052654070399999996,NA,8.31797952e-6,0.01242626568,0,0,0,0.015505808159999999,0.023983881599999996,5.74914096e-4,0.034217378400000005
MIC,2019-01-31T07:36:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-02-02T08:05:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-02-08T07:47:00Z,Factor.1,0.18121884,0.053265102,0.09754060799999999,0.0027547146,0.076578546,0.005246967,0.0045779843999999995,0.037045272,NA,5.8521936e-6,0.0087426174,0,0,0,0.0109092588,0.016874088,4.0448628e-4,0.024073962000000004
MIC,2019-02-13T07:47:00Z,Factor.1,0.0378028708,0.01111128274,0.020347304959999996,5.74642902e-4,0.01597454702,0.00109453529,9.549832279999999e-4,0.007727770639999999,NA,1.220787632e-6,0.001823739938,0,0,0,0.002275708756,0.0035199925599999995,8.43772236e-5,0.005021910940000001
MIC,2019-02-15T07:52:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-02-18T07:33:00Z,Factor.1,0.20545298,0.060388169000000005,0.11058457599999999,0.0031230987,0.08681928700000001,0.0059486365,0.0051901918000000005,0.041999284,NA,6.6347992e-6,0.0099117553,0,0,0,0.0123681386,0.019130636,4.5857766e-4,0.027293339000000003
MIC,2019-02-21T07:46:00Z,Factor.1,0.273177254,0.0802941587,0.14703700479999998,0.0041525780100000005,0.11543787009999999,0.00790950895,0.00690105514,0.0558436732,NA,8.821854159999999e-6,0.01317900619,0,0,0,0.016445096779999998,0.0254367428,6.09740418e-4,0.0362901497
MIC,2019-02-26T10:43:00Z,Factor.1,0.041198038,0.012109213900000002,0.0221747456,6.2625297e-4,0.0174092597,0.00119283815,0.00104075258,0.0084218204,NA,1.3304295200000001e-6,0.00198753443,0,0,0,0.00248009566,0.0038361315999999998,9.1955346e-5,0.005472940900000001
MIC,2019-02-28T12:34:00Z,Factor.1,0.11760481939999999,0.03456722657,0.06330051327999998,0.001787715411,0.049696853109999994,0.003405101845,0.0029709550539999997,0.024041112519999998,NA,3.7978731759999998e-6,0.005673659209,0,0,0,0.007079735257999999,0.010950705079999998,2.624977398e-4,0.01562317667
MIC,2019-03-02T13:34:00Z,Factor.1,0.139447778,0.0409874609,0.07505743359999999,0.0021197510699999997,0.05892714069999999,0.00403753765,0.00352275598,0.028506312399999997,NA,4.50325912e-6,0.00672743833,0,0,0,0.00839466746,0.012984599599999999,3.1125192599999995e-4,0.0185248979
MIC,2019-03-04T10:01:00Z,Factor.1,0.028209494,0.0082915307,0.015183692799999999,4.2881361e-4,0.0119206261,8.1677095e-4,7.1263354e-4,0.0057666652,NA,9.1098376e-7,0.0013609225900000001,0,0,0,0.00169819358,0.0026267108,6.2964498e-5,0.0037474817000000007
MIC,2019-03-09T12:53:00Z,Factor.1,0.307845206,0.0904840043,0.16569694719999997,0.00467956689,0.1300876789,0.00891327655,0.007776843459999999,0.0629305948,NA,9.94140424e-6,0.014851506910000001,0,0,0,0.01853208542,0.0286648292,6.87120402e-4,0.04089560330000001
MIC,2019-03-11T12:03:00Z,Factor.1,0.1000201454,0.02939861687,0.05383560447999999,0.001520410101,0.04226601001,0.0028959593949999998,0.0025267277139999996,0.020446403319999997,NA,3.230002216e-6,0.004825314319,0,0,0,0.006021149078,0.009313318279999998,2.232481818e-4,0.01328714597
MIC,2019-03-20T07:48:00Z,Factor.1,0.0823196728,0.02419597084,0.04430836735999999,0.001251344532,0.03478623332,0.00238346414,0.002079575048,0.016828022239999997,NA,2.658391712e-6,0.003971382908,0,0,0,0.0049555918959999995,0.007665148959999999,1.8374015759999997e-4,0.01093573204
MIC,2019-03-21T12:30:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-03-23T09:14:00Z,Factor.1,0.205166468,0.0603039554,0.11043036159999998,0.00311874342,0.0866982142,0.0059403408999999996,0.00518295388,0.041940714399999995,NA,6.6255467199999996e-6,0.00989793298,0,0,0,0.012350890759999998,0.0191039576,4.5793815599999994e-4,0.0272552774
MIC,2019-03-28T12:19:00Z,Factor.1,0.035016541600000006,0.010292305480000001,0.01884756992,5.32287804e-4,0.014797114040000002,0.0010138605800000002,8.845944560000001e-4,0.00715818128,NA,1.1308072640000001e-6,0.0016893178760000003,0,0,0,0.002107973512,0.00326054512,7.81580472e-5,0.004651761880000001
MIC,2019-03-31T07:58:00Z,Factor.1,0.067169157,0.01974282585,0.03615363839999999,0.001021040955,0.028384004549999998,0.001944799725,0.00169683987,0.013730910599999998,NA,2.16912828e-6,0.003240470145,0,0,0,0.00404354049,0.006254417399999999,1.49923719e-4,0.00892306635
MIC,2019-04-03T12:14:00Z,Factor.1,0.287669986,0.0845539633,0.1548376832,0.00437288259,0.12156213589999999,0.00832912805,0.00726717326,0.05880631879999999,NA,9.28987544e-6,0.01387818521,0,0,0,0.01731755002,0.026786225199999996,6.420886619999999e-4,0.038215432300000005
