site,date,Factor.1,Factor.2,Factor.3,Factor.4,Factor.5,Factor.6,Factor.7
MIC,2019-02-28T12:34:00Z,0.98513,0.82065,0.057995,0.096151,1.4067,0.6748,1.5615
MIC,2019-03-02T13:34:00Z,1.1681,0.21958,1.0776,0.0021415,1.129,2.4511,0.51651
MIC,2019-03-04T10:01:00Z,0.2363,-0.032918,1.8831,0.17009,0.051161,0.3081,-0.2
MIC,2019-03-09T12:53:00Z,2.5787,0.67877,1.6518,0.28434,0.21867,2.1963,0.19795
MIC,2019-03-11T12:03:00Z,0.83783,0.6542,3.3513,2.2057,0.54481,-0.11073,1.4362
MIC,2019-03-20T07:48:00Z,0.68956,3.334,2.8743,2.5354,-0.19477,-0.2,0.83059
MIC,2019-03-21T12:30:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-03-23T09:14:00Z,1.7186,0.85506,1.3582,-0.039294,0.96173,1.6762,0.71388
MIC,2019-03-28T12:19:00Z,0.29332,0.79057,0.64472,1.9806,1.4737,-0.2,1.2984
MIC,2019-03-31T07:58:00Z,0.56265,0.60419,0.79564,0.44321,1.4689,0.48755,0.8567
MIC,2019-04-03T12:14:00Z,2.4097,0.94635,0.056191,0.69367,1.4025,3.4799,1.8674
MIC,2019-04-07T11:25:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-04-12T10:43:00Z,1.4963,1.4819,0.31356,-0.12068,4.2555,2.5218,1.31
MIC,2019-04-15T12:06:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-04-16T12:24:00Z,0.81048,0.58905,0.60509,-0.068053,1.488,1.0688,1.7215
MIC,2019-04-20T10:43:00Z,0.95034,1.9061,-0.019797,1.2614,3.4732,2.4382,1.2212
MIC,2019-04-24T11:55:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-04-27T08:32:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-04-29T09:35:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-05-05T07:11:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-05-06T12:03:00Z,0.63248,1.4084,0.63399,0.32092,0.83517,2.7153,0.5258
MIC,2019-05-11T07:25:00Z,0.11847,0.50991,0.028396,0.051775,1.6399,1.1102,1.1341
MIC,2019-05-14T12:27:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-05-19T10:32:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-05-22T12:15:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-05-28T12:35:00Z,1.0646,0.51146,1.2248000000000001,0.05099,1.242,0.15144,1.8817
MIC,2019-05-30T12:06:00Z,0.49878,-0.2,1.9455,1.3868,1.3367,0.086479,1.6873
