Strata,Outcome,Group,Source,Model,Moving Average,Controls(n),Cases(n),Odds Ratio,Lower 95%CI,Upper 95%CI,% increase,% increase Lower 95%CI,% increase Upper 95%CI,AIC,BIC
site_DOW_MONTH_Year,Cardiorespiratory,Male,Fresh sea salt mixed with aged emissions,Sensitivity model,1-day moving average,2620,891,1.3724734080900687,1.281402989669336,1.4635438265108014,37.24734080900687,28.140298966933596,46.35438265108014,1256.1218407093372,1289.668251701633
site_DOW_MONTH_Year,Cardiorespiratory,Male,Industrial emissions,Sensitivity model,1-day moving average,2624,887,NA,NA,NA,NA,NA,NA,719.8288346073164,719.8288346073164
site_DOW_MONTH_Year,Cardiorespiratory,Male,Secondary sulfate,Sensitivity model,1-day moving average,2617,894,1.1500011433298913,1.0881431626136506,1.211859124046132,15.000114332989135,8.814316261365063,21.185912404613205,881.5168777737755,915.08681819999
site_DOW_MONTH_Year,Cardiorespiratory,Male,"Combustion of biomass, coal and fossil fuels",Sensitivity model,1-day moving average,2622,889,1.139891048470961,1.0691202745569828,1.2106618223849392,13.989104847096101,6.9120274556982775,21.066182238493923,742.7711115560929,776.3017922046903
site_DOW_MONTH_Year,Cardiorespiratory,Female,Mineral dust and soil ressuspension,Sensitivity model,1-day moving average,2145,715,1.4429256431111213,1.322594498781003,1.5632567874412395,44.29256431111212,32.2594498781003,56.325678744123955,661.7815403955711,693.7875181944291
site_DOW_MONTH_Year,Cardiorespiratory,Female,Aged sea salt,Sensitivity model,1-day moving average,2123,737,1.0149429782470911,0.8426462489079333,1.187239707586249,1.494297824709112,-15.735375109206673,18.72397075862491,474.579227934458,506.79734317978335
site_DOW_MONTH_Year,Cardiorespiratory,Female,Secondary nitrate,Sensitivity model,1-day moving average,2135,725,1.0280080084459429,0.9565515625084305,1.099464454383455,2.8008008445942867,-4.344843749156945,9.946445438345508,798.2537589302613,830.356960514244
site_DOW_MONTH_Year,Cardiorespiratory,Female,Fresh sea salt mixed with aged emissions,Sensitivity model,1-day moving average,2132,728,1.4211945505480288,1.320584484408918,1.5218046166871395,42.11945505480288,32.05844844089181,52.18046166871395,973.8396074978425,1005.9717148352194
site_DOW_MONTH_Year,Cardiorespiratory,Female,Industrial emissions,Sensitivity model,1-day moving average,2125,735,5.897206579057119,5.551719698644429,6.24269345946981,489.72065790571196,455.1719698644429,524.2693459469809,568.7213137262199,600.9204072207098
site_DOW_MONTH_Year,Cardiorespiratory,Female,Secondary sulfate,Sensitivity model,1-day moving average,2129,731,1.113973644383174,1.059722524333666,1.168224764432682,11.397364438317403,5.972252433366609,16.822476443268197,750.6989668057075,782.859861023956
site_DOW_MONTH_Year,Cardiorespiratory,Female,"Combustion of biomass, coal and fossil fuels",Sensitivity model,1-day moving average,2141,719,1.21155172627507,1.0930104656480508,1.330092986902089,21.155172627506992,9.301046564805082,33.0092986902089,661.9402263484462,693.9852558524935
site_DOW_MONTH_Year,Respiratory,All,Mineral dust and soil ressuspension,Primary model,1-day moving average,1877,628,1.5000013172295332,1.3706147460586644,1.629387888400402,50.00013172295332,37.06147460586644,62.9387888400402,541.7856628772722,572.8834440425496
site_DOW_MONTH_Year,Respiratory,All,Aged sea salt,Primary model,1-day moving average,1874,631,1.1406120005690679,0.9244402700459475,1.3567837310921882,14.061200056906786,-7.555972995405247,35.67837310921882,403.31021960053425,434.44136063832275
site_DOW_MONTH_Year,Respiratory,All,Secondary nitrate,Primary model,1-day moving average,1877,628,1.0110637440280041,0.9379860217962003,1.084141466259808,1.106374402800414,-6.201397820379972,8.41414662598079,614.5986158588948,645.6963970241723
site_DOW_MONTH_Year,Respiratory,All,Fresh sea salt mixed with aged emissions,Primary model,1-day moving average,1876,629,1.4714993112130237,1.364795112247115,1.5782035101789325,47.149931121302366,36.479511224711494,57.820351017893245,830.0792321025389,861.188150899442
site_DOW_MONTH_Year,Respiratory,All,Industrial emissions,Primary model,1-day moving average,1866,639,4.820766316477179,4.502714401980773,5.138818230973584,382.0766316477179,350.2714401980773,413.8818230973584,508.3231669526268,539.5424981332695
site_DOW_MONTH_Year,Respiratory,All,Secondary sulfate,Primary model,1-day moving average,1854,651,1.1018212588625411,1.041984769267094,1.1616577484579882,10.182125886254113,4.198476926709405,16.16577484579882,597.7942476847087,629.1438151801686
site_DOW_MONTH_Year,Respiratory,All,"Combustion of biomass, coal and fossil fuels",Primary model,1-day moving average,1865,640,1.12222194968702,1.0370634793559679,1.2073804200180722,12.222194968702006,3.7063479355967877,20.738042001807223,513.6975445742568,544.9278218087328
site_DOW_MONTH_Year,Respiratory,Female,Mineral dust and soil ressuspension,Sensitivity model,1-day moving average,840,284,1.2772494822731837,1.1278911435931809,1.4266078209531865,27.724948227318368,12.789114359318088,42.66078209531865,242.42227316152298,267.96509282865145
site_DOW_MONTH_Year,Respiratory,Female,Aged sea salt,Sensitivity model,1-day moving average,839,285,0.990270654542906,0.6673796123316988,1.313161696754113,-0.972934545709403,-33.262038766830116,31.31616967541131,151.94405936361045,177.511483625491
site_DOW_MONTH_Year,Respiratory,Female,Secondary nitrate,Sensitivity model,1-day moving average,839,285,0.9739146369014208,0.8706144676727637,1.077214806130078,-2.608536309857923,-12.938553232723626,7.721480613007792,239.71435354778592,265.2817778096665
site_DOW_MONTH_Year,Respiratory,Female,Fresh sea salt mixed with aged emissions,Sensitivity model,1-day moving average,828,296,1.6560839731888481,1.4707850435130363,1.84138290286466,65.60839731888481,47.07850435130363,84.138290286466,309.893573712885,335.7260898931534
site_DOW_MONTH_Year,Respiratory,Female,Industrial emissions,Sensitivity model,1-day moving average,836,288,11.772468084357108,10.910540594148767,12.634395574565449,1077.2468084357108,991.0540594148766,1163.439557456545,152.2797811910404,177.92050455199202
site_DOW_MONTH_Year,Respiratory,Female,Secondary sulfate,Sensitivity model,1-day moving average,827,297,1.1179251904676695,1.0330952763650172,1.2027551045703218,11.792519046766948,3.309527636501719,20.275510457032176,258.4725965725793,284.3287215441982
site_DOW_MONTH_Year,Respiratory,Female,"Combustion of biomass, coal and fossil fuels",Sensitivity model,1-day moving average,840,284,1.0726405954256613,0.9723039402967575,1.172977250554565,7.264059542566126,-2.7696059703242515,17.297725055456503,188.72033626123616,214.2631559283646
site_DOW_MONTH_Year,Respiratory,Male,Mineral dust and soil ressuspension,Sensitivity model,1-day moving average,1027,354,1.6600020279329935,1.4727969668350924,1.8472070890308945,66.00020279329935,47.27969668350924,84.72070890308945,245.35254383718737,272.4376222291238
site_DOW_MONTH_Year,Respiratory,Male,Aged sea salt,Sensitivity model,1-day moving average,1027,354,1.2815709681300305,0.952171062854344,1.6109708734057169,28.157096813003047,-4.782893714565595,61.09708734057169,161.27889360153387,188.36397199347027
site_DOW_MONTH_Year,Respiratory,Male,Secondary nitrate,Sensitivity model,1-day moving average,1031,350,1.003480196582947,0.9018388388743828,1.1051215542915112,0.34801965829469594,-9.816116112561723,10.512155429151115,323.40948943593463,350.41502151731885
site_DOW_MONTH_Year,Respiratory,Male,Fresh sea salt mixed with aged emissions,Sensitivity model,1-day moving average,1030,351,1.3417602943025029,1.2049177631081405,1.4786028254968653,34.17602943025029,20.491776310814046,47.86028254968653,415.1507303039442,442.17623386820526
site_DOW_MONTH_Year,Respiratory,Male,Industrial emissions,Sensitivity model,1-day moving average,1018,363,3.454645911782839,3.08278523063918,3.8265065929264983,245.4645911782839,208.27852306391802,282.65065929264983,256.2296634665771,283.4904833064311
site_DOW_MONTH_Year,Respiratory,Male,Secondary sulfate,Sensitivity model,1-day moving average,1027,354,1.0645648817187547,0.9814653799441655,1.147664383493344,6.456488171875474,-1.8534620055834505,14.766438349334399,271.7271936262529,298.81227201818933
site_DOW_MONTH_Year,Respiratory,Male,"Combustion of biomass, coal and fossil fuels",Sensitivity model,1-day moving average,1025,356,1.5994494544345563,1.3489159887003914,1.8499829201687212,59.94494544345563,34.89159887003914,84.99829201687213,305.7678774568634,332.8923925728276
site_DOW_MONTH_Year,Circulatory,All,Mineral dust and soil ressuspension,Primary model,1-day moving average,2894,972,1.2998873516969445,1.2006441054224457,1.3991305979714432,29.988735169694447,20.06441054224457,39.91305979714432,908.042658238584,942.198148869807
site_DOW_MONTH_Year,Circulatory,All,Aged sea salt,Primary model,1-day moving average,2887,979,1.0386388516982488,0.8880320038717885,1.189245699524709,3.8638851698248766,-11.19679961282115,18.924569952470893,642.8866205921148,677.0923420898284
site_DOW_MONTH_Year,Circulatory,All,Secondary nitrate,Primary model,1-day moving average,2885,981,0.9730193183979202,0.9084645202273948,1.0375741165684458,-2.698068160207978,-9.153547977260523,3.757411656844578,1030.8930163855985,1065.113023602556
site_DOW_MONTH_Year,Circulatory,All,Fresh sea salt mixed with aged emissions,Primary model,1-day moving average,2878,988,1.3635984030232384,1.2725027836490561,1.4546940223974207,36.359840302323846,27.25027836490561,45.469402239742074,1404.0119345643427,1438.2817134485779
site_DOW_MONTH_Year,Circulatory,All,Industrial emissions,Primary model,1-day moving average,2872,994,3.8969923929386496,3.7453231826212456,4.048661603256054,289.69923929386493,274.5323182621246,304.8661603256054,802.9828052323855,837.2949656789816
site_DOW_MONTH_Year,Circulatory,All,Secondary sulfate,Primary model,1-day moving average,2898,968,1.1483947819796587,1.0948130775115628,1.2019764864477547,14.839478197965871,9.481307751156276,20.19764864477547,953.5736672607945,987.7002918717305
site_DOW_MONTH_Year,Circulatory,All,"Combustion of biomass, coal and fossil fuels",Primary model,1-day moving average,2881,985,1.2327213452874826,1.132270173022476,1.3331725175524891,23.272134528748257,13.227017302247601,33.31725175524891,935.3910298457537,969.6395213339583
site_DOW_MONTH_Year,Circulatory,Female,Mineral dust and soil ressuspension,Sensitivity model,1-day moving average,1297,439,1.373802475774406,1.2190220250613126,1.5285829264874995,37.380247577440606,21.902202506131264,52.85829264874995,385.4946486552928,414.086144546819
site_DOW_MONTH_Year,Circulatory,Female,Aged sea salt,Sensitivity model,1-day moving average,1284,452,1.012922369224507,0.7889422852916637,1.2369024531573505,1.2922369224507069,-21.105771470833634,23.690245315735048,254.58334947870748,283.3791247375331
site_DOW_MONTH_Year,Circulatory,Female,Secondary nitrate,Sensitivity model,1-day moving average,1301,435,1.0649077966497487,0.9657928872664925,1.1640227060330048,6.490779664974866,-3.4207112733507516,16.402270603300483,448.3800998865137,476.90752210413444
site_DOW_MONTH_Year,Circulatory,Female,Fresh sea salt mixed with aged emissions,Sensitivity model,1-day moving average,1298,438,1.336188858651341,1.2068947207649137,1.4654829965377685,33.618885865134104,20.689472076491366,46.54829965377685,567.8017279231246,596.3772602957598
site_DOW_MONTH_Year,Circulatory,Female,Industrial emissions,Sensitivity model,1-day moving average,1280,456,4.602972153960262,4.198518983591236,5.007425324329287,360.29721539602616,319.8518983591236,400.7425324329287,348.55752129576416,377.41497096236486
site_DOW_MONTH_Year,Circulatory,Female,Secondary sulfate,Sensitivity model,1-day moving average,1301,435,1.134342082096435,1.0608849771172753,1.2077991870755946,13.434208209643494,6.088497711727525,20.779918707559464,397.46433269517155,425.9917549127923
site_DOW_MONTH_Year,Circulatory,Female,"Combustion of biomass, coal and fossil fuels",Sensitivity model,1-day moving average,1300,436,1.386635593583884,1.1832465576731175,1.5900246294946507,38.66355935838841,18.324655767311747,59.00246294946507,406.40394188390803,434.94743758735126
site_DOW_MONTH_Year,Circulatory,Male,Mineral dust and soil ressuspension,Sensitivity model,1-day moving average,1593,537,1.2226241980906214,1.1225520779425249,1.322696318238718,22.262419809062138,12.255207794252488,32.26963182387179,465.7404161508941,495.74240281245613
site_DOW_MONTH_Year,Circulatory,Male,Aged sea salt,Sensitivity model,1-day moving average,1588,542,1.0392008882960813,0.830327678296729,1.2480740982954335,3.920088829608126,-16.967232170327094,24.807409829543346,399.9096830968964,429.97654510697396
site_DOW_MONTH_Year,Circulatory,Male,Secondary nitrate,Sensitivity model,1-day moving average,1597,533,0.9111505452314036,0.8331730944080376,0.9891279960547696,-8.88494547685964,-16.682690559196246,-1.0872003945230357,498.2754032642022,528.2250532333632
site_DOW_MONTH_Year,Circulatory,Male,Fresh sea salt mixed with aged emissions,Sensitivity model,1-day moving average,1590,540,1.3406373995642702,1.2172171910049334,1.464057608123607,34.06373995642702,21.721719100493342,46.4057608123607,725.8069460809371,755.8479300578454
site_DOW_MONTH_Year,Circulatory,Male,Industrial emissions,Sensitivity model,1-day moving average,1594,536,7.125854036626147,6.693328810450983,7.558379262801311,612.5854036626147,569.3328810450982,655.8379262801311,384.11299510842355,414.10193423591915
site_DOW_MONTH_Year,Circulatory,Male,Secondary sulfate,Sensitivity model,1-day moving average,1597,533,1.1683182718747178,1.0852371043649884,1.2513994393844472,16.83182718747178,8.523710436498844,25.13994393844472,458.0994319079922,488.0490818771531
site_DOW_MONTH_Year,Circulatory,Male,"Combustion of biomass, coal and fossil fuels",Sensitivity model,1-day moving average,1585,545,1.1412983449014906,1.0555886983046683,1.227007991498313,14.129834490149062,5.558869830466828,22.700799149831298,398.8554380534987,428.9609386161414
site_DOW_MONTH_Year,Cardiorespiratory,All,Mineral dust and soil ressuspension,Primary model,2-day moving average,6481,2225,1.2403779182134729,1.2023421948542232,1.2784136415727225,24.037791821347287,20.234219485422322,27.841364157272253,3249.5275475878566,3289.4801329500588
site_DOW_MONTH_Year,Cardiorespiratory,All,Aged sea salt,Primary model,2-day moving average,6488,2218,1.0816987375993492,0.9949556503461717,1.1684418248525268,8.16987375993492,-0.5044349653828273,16.84418248525268,1737.0883224257582,1777.0188506011305
site_DOW_MONTH_Year,Cardiorespiratory,All,Secondary nitrate,Primary model,2-day moving average,6504,2202,1.0071878982097173,0.9702061698014385,1.044169626617996,0.7187898209717325,-2.979383019856152,4.416962661799606,3171.7300281465796,3211.609877367558
site_DOW_MONTH_Year,Cardiorespiratory,All,Fresh sea salt mixed with aged emissions,Primary model,2-day moving average,6518,2188,1.1425203176304968,1.098969506813173,1.1860711284478205,14.252031763049677,9.896950681317307,18.607112844782048,4114.795400645236,4154.630602790029
site_DOW_MONTH_Year,Cardiorespiratory,All,Industrial emissions,Primary model,2-day moving average,6429,2277,1.3797103815916547,1.3277331105677745,1.4316876526155349,37.971038159165474,32.77331105677745,43.16876526155349,2769.2456860122747,2809.359984474721
site_DOW_MONTH_Year,Cardiorespiratory,All,Secondary sulfate,Primary model,2-day moving average,6508,2198,1.492865440444841,1.440164772986427,1.5455661079032548,49.286544044484096,44.01647729864271,54.55661079032548,3016.8029027424977,3056.670024687243
site_DOW_MONTH_Year,Cardiorespiratory,All,"Combustion of biomass, coal and fossil fuels",Primary model,2-day moving average,6485,2221,1.0149486280575442,0.9820813781602877,1.0478158779548006,1.4948628057544155,-1.7918621839712268,4.781587795480058,3018.8117522916173,3058.7517420588783
site_DOW_MONTH_Year,Cardiorespiratory,Male,Mineral dust and soil ressuspension,Sensitivity model,2-day moving average,3598,1214,1.4419256339691864,1.3779139008569785,1.5059373670813943,44.192563396918636,37.79139008569785,50.593736708139424,1360.125449391328,1395.837181192664
site_DOW_MONTH_Year,Cardiorespiratory,Male,Aged sea salt,Sensitivity model,2-day moving average,3600,1212,1.0724291477357544,0.9557271606471971,1.1891311348243117,7.242914773575437,-4.427283935280291,18.913113482431164,860.465799111888,896.1659892782928
site_DOW_MONTH_Year,Cardiorespiratory,Male,Secondary nitrate,Sensitivity model,2-day moving average,3603,1209,0.9929340241765743,0.9426477422443152,1.0432203061088332,-0.7065975823425719,-5.735225775568475,4.322030610883321,1499.8626522363356,1535.5454941906391
site_DOW_MONTH_Year,Cardiorespiratory,Male,Fresh sea salt mixed with aged emissions,Sensitivity model,2-day moving average,3607,1205,1.135603489591328,1.0796120491842156,1.1915949299984405,13.560348959132806,7.9612049184215605,19.15949299984405,2176.586481083809,2212.246125005282
site_DOW_MONTH_Year,Cardiorespiratory,Male,Industrial emissions,Sensitivity model,2-day moving average,3609,1203,1.326905250070523,1.2603014620423636,1.3935090380986823,32.690525007052294,26.03014620423636,39.35090380986823,1463.2200465342532,1498.868062546076
site_DOW_MONTH_Year,Cardiorespiratory,Male,Secondary sulfate,Sensitivity model,2-day moving average,3587,1225,1.6061016074010444,1.5256790117649537,1.686524203037135,60.61016074010443,52.56790117649537,68.6524203037135,1505.221753223178,1540.9966260840297
site_DOW_MONTH_Year,Cardiorespiratory,Male,"Combustion of biomass, coal and fossil fuels",Sensitivity model,2-day moving average,3600,1212,1.0253009402766278,0.9824659224061606,1.0681359581470948,2.530094027662777,-1.7534077593839403,6.813595814709483,1638.276096039176,1673.976286205581
site_DOW_MONTH_Year,Cardiorespiratory,Female,Mineral dust and soil ressuspension,Sensitivity model,2-day moving average,2918,976,1.2109918126432806,1.1513145260046254,1.2706690992819358,21.09918126432806,15.131452600462536,27.06690992819358,1365.1161574919136,1399.3003955968052
site_DOW_MONTH_Year,Cardiorespiratory,Female,Aged sea salt,Sensitivity model,2-day moving average,2888,1006,1.0911795294681272,0.9654313176763576,1.2169277412598969,9.117952946812725,-3.456868232364241,21.69277412598969,773.1365386724835,807.5327001271013
site_DOW_MONTH_Year,Cardiorespiratory,Female,Secondary nitrate,Sensitivity model,2-day moving average,2919,975,1.0132601361365614,0.9552234551975115,1.0712968170756114,1.3260136136561407,-4.47765448024885,7.129681707561142,1360.8461297717313,1395.0231920687163
site_DOW_MONTH_Year,Cardiorespiratory,Female,Fresh sea salt mixed with aged emissions,Sensitivity model,2-day moving average,2913,981,1.1584889461837886,1.0896465099819217,1.2273313823856555,15.84889461837886,8.96465099819217,22.73313823856555,1721.9586061599437,1756.1786133769012
site_DOW_MONTH_Year,Cardiorespiratory,Female,Industrial emissions,Sensitivity model,2-day moving average,2907,987,1.4463140768725158,1.3631968015745124,1.5294313521705192,44.63140768725158,36.31968015745124,52.94313521705192,1138.6755472155144,1172.9382374915488
site_DOW_MONTH_Year,Cardiorespiratory,Female,Secondary sulfate,Sensitivity model,2-day moving average,2906,988,1.3391703903177024,1.2735128127980926,1.4048279678373121,33.91703903177024,27.351281279809257,40.48279678373121,1380.104131985718,1414.373910869953
site_DOW_MONTH_Year,Cardiorespiratory,Female,"Combustion of biomass, coal and fossil fuels",Sensitivity model,2-day moving average,2916,978,0.9946600377403219,0.9438406127758248,1.045479462704819,-0.5339962259678144,-5.615938722417524,4.547946270481895,1210.0365009119073,1244.235068602151
site_DOW_MONTH_Year,Respiratory,All,Mineral dust and soil ressuspension,Primary model,2-day moving average,2574,880,1.2384175258596386,1.1790117195971734,1.2978233321221038,23.84175258596386,17.901171959717345,29.782333212210375,1226.729153323383,1260.1886066756886
site_DOW_MONTH_Year,Respiratory,All,Aged sea salt,Primary model,2-day moving average,2572,882,1.0886452318129092,0.9592385926137292,1.2180518710120891,8.864523181290917,-4.0761407386270765,21.80518710120891,760.8405941425113,794.3159385345589
